run_id,tick,event_type,robot_id,task_id,details
20260909_025356_cbfdcb,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260909_025356_cbfdcb,3,task_assigned,R1,G00001,
20260909_025356_cbfdcb,5,task_created,,G00002,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025356_cbfdcb,5,task_assigned,R3,G00002,
20260909_025356_cbfdcb,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025356_cbfdcb,7,task_assigned,R2,G00003,
20260909_025356_cbfdcb,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025356_cbfdcb,9,task_assigned,R4,G00004,
20260909_025356_cbfdcb,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025356_cbfdcb,15,task_created,,G00006,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025356_cbfdcb,16,task_completed,R3,G00002,
20260909_025356_cbfdcb,17,task_completed,R1,G00001,
20260909_025356_cbfdcb,17,task_assigned,R3,G00006,
20260909_025356_cbfdcb,18,task_assigned,R1,G00005,
20260909_025356_cbfdcb,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-06
20260909_025356_cbfdcb,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025356_cbfdcb,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025356_cbfdcb,23,robot_blocked,R3,,"{""x"": 14, ""y"": 8}"
20260909_025356_cbfdcb,24,task_completed,R4,G00004,
20260909_025356_cbfdcb,24,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260909_025356_cbfdcb,25,task_assigned,R4,G00009,
20260909_025356_cbfdcb,25,task_created,,G00010,type=PICK pickup=D-03 dropoff=PICK-2
20260909_025356_cbfdcb,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=D-08
20260909_025356_cbfdcb,30,task_completed,R2,G00003,
20260909_025356_cbfdcb,30,task_completed,R4,G00009,
20260909_025356_cbfdcb,31,task_assigned,R2,G00008,
20260909_025356_cbfdcb,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025356_cbfdcb,31,task_assigned,R4,G00012,
20260909_025356_cbfdcb,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260909_025356_cbfdcb,35,task_created,,G00014,type=PICK pickup=C-05 dropoff=PICK-3
20260909_025356_cbfdcb,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025356_cbfdcb,43,task_completed,R2,G00008,
20260909_025356_cbfdcb,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025356_cbfdcb,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025356_cbfdcb,44,task_assigned,R2,G00015,
20260909_025356_cbfdcb,45,task_completed,R1,G00005,
20260909_025356_cbfdcb,45,task_created,,G00018,type=PICK pickup=B-01 dropoff=PICK-2
20260909_025356_cbfdcb,46,task_completed,R3,G00006,
20260909_025356_cbfdcb,46,task_assigned,R1,G00017,
20260909_025356_cbfdcb,47,task_assigned,R3,G00010,
20260909_025356_cbfdcb,50,task_completed,R2,G00015,
20260909_025356_cbfdcb,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025356_cbfdcb,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025356_cbfdcb,51,task_assigned,R2,G00020,
20260909_025356_cbfdcb,55,task_created,,G00021,type=PICK pickup=A-05 dropoff=PICK-1
20260909_025356_cbfdcb,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025356_cbfdcb,56,task_completed,R2,G00020,
20260909_025356_cbfdcb,57,task_completed,R4,G00012,
20260909_025356_cbfdcb,57,task_assigned,R2,G00022,
20260909_025356_cbfdcb,58,task_assigned,R4,G00014,
20260909_025356_cbfdcb,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=H-04
20260909_025356_cbfdcb,60,task_completed,R1,G00017,
20260909_025356_cbfdcb,61,task_assigned,R1,G00018,
20260909_025356_cbfdcb,65,task_created,,G00024,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025356_cbfdcb,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025356_cbfdcb,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=D-06
20260909_025356_cbfdcb,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025356_cbfdcb,68,robot_blocked,R1,,"{""x"": 12, ""y"": 8}"
20260909_025356_cbfdcb,70,task_completed,R3,G00010,
20260909_025356_cbfdcb,71,task_assigned,R3,G00025,
20260909_025356_cbfdcb,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-01
