run_id,tick,event_type,robot_id,task_id,details
20260903_045058_ac3b6b,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260903_045058_ac3b6b,3,task_assigned,R3,G00001,
20260903_045058_ac3b6b,5,task_created,,G00002,type=PICK pickup=E-04 dropoff=PICK-1
20260903_045058_ac3b6b,5,task_assigned,R5,G00002,
20260903_045058_ac3b6b,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_045058_ac3b6b,7,task_assigned,R8,G00003,
20260903_045058_ac3b6b,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_045058_ac3b6b,9,task_assigned,R1,G00004,
20260903_045058_ac3b6b,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-05
20260903_045058_ac3b6b,11,task_assigned,R7,G00005,
20260903_045058_ac3b6b,15,task_created,,G00006,type=PICK pickup=A-04 dropoff=PICK-1
20260903_045058_ac3b6b,15,task_assigned,R2,G00006,
20260903_045058_ac3b6b,17,task_completed,R3,G00001,
20260903_045058_ac3b6b,17,task_completed,R1,G00004,
20260903_045058_ac3b6b,17,robot_blocked,R2,,
20260903_045058_ac3b6b,17,robot_blocked,R8,,
20260903_045058_ac3b6b,18,robot_unblocked,R2,,
20260903_045058_ac3b6b,18,robot_replanned,R2,,
20260903_045058_ac3b6b,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_045058_ac3b6b,19,task_assigned,R3,G00007,
20260903_045058_ac3b6b,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_045058_ac3b6b,19,task_assigned,R4,G00008,
20260903_045058_ac3b6b,19,robot_unblocked,R8,,
20260903_045058_ac3b6b,20,task_completed,R5,G00002,
20260903_045058_ac3b6b,21,robot_blocked,R2,,
20260903_045058_ac3b6b,22,robot_unblocked,R2,,
20260903_045058_ac3b6b,23,task_completed,R8,G00003,
20260903_045058_ac3b6b,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_045058_ac3b6b,23,task_assigned,R1,G00009,
20260903_045058_ac3b6b,25,task_created,,G00010,type=PICK pickup=D-05 dropoff=PICK-2
20260903_045058_ac3b6b,25,task_assigned,R6,G00010,
20260903_045058_ac3b6b,26,task_completed,R7,G00005,
20260903_045058_ac3b6b,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-01
20260903_045058_ac3b6b,27,task_assigned,R7,G00011,
20260903_045058_ac3b6b,28,task_completed,R1,G00009,
20260903_045058_ac3b6b,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_045058_ac3b6b,31,task_assigned,R5,G00012,
20260903_045058_ac3b6b,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_045058_ac3b6b,35,task_assigned,R1,G00013,
20260903_045058_ac3b6b,35,task_created,,G00014,type=PICK pickup=C-04 dropoff=PICK-1
20260903_045058_ac3b6b,35,task_assigned,R8,G00014,
20260903_045058_ac3b6b,36,task_completed,R7,G00011,
20260903_045058_ac3b6b,36,robot_blocked,R2,,
20260903_045058_ac3b6b,36,robot_blocked,R5,,
20260903_045058_ac3b6b,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_045058_ac3b6b,37,task_assigned,R7,G00015,
20260903_045058_ac3b6b,37,robot_unblocked,R2,,
20260903_045058_ac3b6b,37,robot_unblocked,R5,,
20260903_045058_ac3b6b,38,task_completed,R6,G00010,
20260903_045058_ac3b6b,39,robot_blocked,R5,,
20260903_045058_ac3b6b,40,task_completed,R4,G00008,
20260903_045058_ac3b6b,41,robot_unblocked,R5,,
