run_id,tick,event_type,robot_id,task_id,details
20260903_112933_65cb99,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=C-08
20260903_112933_65cb99,3,task_assigned,R1,G00001,
20260903_112933_65cb99,5,task_created,,G00002,type=PICK pickup=G-06 dropoff=PICK-2
20260903_112933_65cb99,5,task_assigned,R6,G00002,
20260903_112933_65cb99,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_112933_65cb99,7,task_assigned,R7,G00003,
20260903_112933_65cb99,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_112933_65cb99,9,task_assigned,R4,G00004,
20260903_112933_65cb99,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=A-06
20260903_112933_65cb99,11,task_assigned,R8,G00005,
20260903_112933_65cb99,15,task_completed,R4,G00004,
20260903_112933_65cb99,15,task_created,,G00006,type=PICK pickup=D-05 dropoff=PICK-2
20260903_112933_65cb99,15,task_assigned,R3,G00006,
20260903_112933_65cb99,18,task_completed,R7,G00003,
20260903_112933_65cb99,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=C-05
20260903_112933_65cb99,19,task_assigned,R5,G00007,
20260903_112933_65cb99,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_112933_65cb99,19,task_assigned,R7,G00008,
20260903_112933_65cb99,20,task_completed,R6,G00002,
20260903_112933_65cb99,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_112933_65cb99,23,task_assigned,R4,G00009,
20260903_112933_65cb99,25,task_created,,G00010,type=PICK pickup=C-08 dropoff=PICK-1
20260903_112933_65cb99,25,task_assigned,R6,G00010,
20260903_112933_65cb99,26,task_completed,R1,G00001,
20260903_112933_65cb99,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=H-06
20260903_112933_65cb99,27,task_assigned,R1,G00011,
20260903_112933_65cb99,28,task_completed,R4,G00009,
20260903_112933_65cb99,30,robot_blocked,R1,,"{""x"": 14, ""y"": 4}"
20260903_112933_65cb99,30,robot_blocked,R6,,"{""x"": 13, ""y"": 4}"
20260903_112933_65cb99,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_112933_65cb99,31,task_assigned,R4,G00012,
20260903_112933_65cb99,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260903_112933_65cb99,35,task_assigned,R2,G00013,
20260903_112933_65cb99,35,task_created,,G00014,type=PICK pickup=F-04 dropoff=PICK-1
20260903_112933_65cb99,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_112933_65cb99,41,task_completed,R7,G00008,
20260903_112933_65cb99,42,task_assigned,R7,G00014,
20260903_112933_65cb99,43,task_completed,R8,G00005,
20260903_112933_65cb99,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260903_112933_65cb99,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_112933_65cb99,44,task_assigned,R8,G00016,
20260903_112933_65cb99,45,task_completed,R4,G00012,
20260903_112933_65cb99,45,task_created,,G00018,type=PICK pickup=C-06 dropoff=PICK-3
20260903_112933_65cb99,46,task_assigned,R4,G00018,
20260903_112933_65cb99,46,robot_blocked,R8,,"{""x"": 5, ""y"": 4}"
20260903_112933_65cb99,47,robot_blocked,R2,,"{""x"": 11, ""y"": 13}"
20260903_112933_65cb99,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=F-08
20260903_112933_65cb99,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_112933_65cb99,52,task_completed,R3,G00006,
20260903_112933_65cb99,52,task_completed,R6,G00010,
20260903_112933_65cb99,53,task_assigned,R6,G00017,
20260903_112933_65cb99,53,task_assigned,R3,G00019,
20260903_112933_65cb99,54,task_completed,R5,G00007,
20260903_112933_65cb99,55,task_created,,G00021,type=PICK pickup=D-08 dropoff=PICK-2
20260903_112933_65cb99,55,task_assigned,R5,G00021,
20260903_112933_65cb99,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_112933_65cb99,58,task_completed,R1,G00011,
20260903_112933_65cb99,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=B-07
20260903_112933_65cb99,59,task_assigned,R1,G00023,
20260903_112933_65cb99,60,robot_blocked,R5,,"{""x"": 19, ""y"": 4}"
20260903_112933_65cb99,63,task_completed,R7,G00014,
20260903_112933_65cb99,63,robot_blocked,R4,,"{""x"": 13, ""y"": 6}"
20260903_112933_65cb99,64,task_completed,R8,G00016,
20260903_112933_65cb99,64,task_assigned,R7,G00022,
20260903_112933_65cb99,65,task_created,,G00024,type=PICK pickup=C-06 dropoff=PICK-3
20260903_112933_65cb99,65,task_assigned,R8,G00024,
20260903_112933_65cb99,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_112933_65cb99,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=E-06
20260903_112933_65cb99,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_112933_65cb99,72,task_completed,R4,G00018,
20260903_112933_65cb99,73,task_completed,R3,G00019,
20260903_112933_65cb99,73,task_completed,R8,G00024,
20260903_112933_65cb99,73,task_assigned,R4,G00026,
20260903_112933_65cb99,74,task_assigned,R8,G00015,
20260903_112933_65cb99,74,task_assigned,R3,G00027,
20260903_112933_65cb99,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=B-04
20260903_112933_65cb99,75,task_created,,G00029,type=PICK pickup=F-03 dropoff=PICK-2
20260903_112933_65cb99,75,robot_blocked,R7,,"{""x"": 15, ""y"": 8}"
